,probe_id,request_ntp,request_capture,resp_delta_capture,response_orig_ts,response_capture,resp_proc_time,response_reference_timestamp,response_transmit_timestamp,response_transmit_minus_reference,response_reference_valid,request_ntp_equals_response_orig_ts
14,1007620,2025-07-11 07:36:55.490788,2025-07-11 07:36:55.491771,0.0009829998016357422,2025-07-11 07:36:55.490788,2025-07-11 07:36:55.491966,-1.9e-05,2025-07-11 07:35:55.491947,2025-07-11 07:36:55.491947,60.0,True,True
15,1010904,2025-07-11 07:36:55.551258,2025-07-11 07:36:55.566541,0.015282869338989258,2025-07-11 07:36:55.551258,2025-07-11 07:36:55.566802,-3.9e-05,2025-07-11 07:35:55.566763,2025-07-11 07:36:55.566763,60.0,True,True
16,1010904,2025-07-11 07:36:55.583156,2025-07-11 07:36:55.598258,0.015101432800292969,2025-07-11 07:36:55.583156,2025-07-11 07:36:55.598422,-2e-05,2025-07-11 07:35:55.598402,2025-07-11 07:36:55.598402,60.0,True,True
17,1010904,2025-07-11 07:36:55.614818,2025-07-11 07:36:55.630019,0.015200614929199219,2025-07-11 07:36:55.614818,2025-07-11 07:36:55.630225,-2.4e-05,2025-07-11 07:35:55.630201,2025-07-11 07:36:55.630201,60.0,True,True
18,1010855,2025-07-11 07:37:47.646959,2025-07-11 07:36:55.572253,-52.074705362319946,2025-07-11 07:37:47.646959,2025-07-11 07:36:55.572448,-3.1e-05,2025-07-11 07:35:55.572417,2025-07-11 07:36:55.572417,60.0,True,True
19,1010855,2025-07-11 07:37:47.761780,2025-07-11 07:36:55.686357,-52.075422286987305,2025-07-11 07:37:47.761780,2025-07-11 07:36:55.686551,-2.5e-05,2025-07-11 07:35:55.686526,2025-07-11 07:36:55.686526,60.0,True,True
20,1010855,2025-07-11 07:37:47.875856,2025-07-11 07:36:55.800414,-52.07544231414795,2025-07-11 07:37:47.875856,2025-07-11 07:36:55.800624,-2.8e-05,2025-07-11 07:35:55.800596,2025-07-11 07:36:55.800596,60.0,True,True
21,1006606,2025-07-11 07:36:55.571778,2025-07-11 07:36:55.575577,0.0037994384765625,2025-07-11 07:36:55.571778,2025-07-11 07:36:55.575763,-2.6e-05,2025-07-11 07:35:55.575737,2025-07-11 07:36:55.575737,60.0,True,True
22,1006606,2025-07-11 07:36:55.578143,2025-07-11 07:36:55.581760,0.003616809844970703,2025-07-11 07:36:55.578143,2025-07-11 07:36:55.581969,-2.1e-05,2025-07-11 07:35:55.581948,2025-07-11 07:36:55.581948,60.0,True,True
23,1006606,2025-07-11 07:36:55.584310,2025-07-11 07:36:55.587960,0.0036504268646240234,2025-07-11 07:36:55.584310,2025-07-11 07:36:55.588102,-2e-05,2025-07-11 07:35:55.588082,2025-07-11 07:36:55.588082,60.0,True,True
24,1004746,2025-07-11 07:36:55.572802,2025-07-11 07:36:55.586682,0.013880014419555664,2025-07-11 07:36:55.572802,2025-07-11 07:36:55.586853,-2.8e-05,2025-07-11 07:35:55.586825,2025-07-11 07:36:55.586825,60.0,True,True
25,1004746,2025-07-11 07:36:55.600566,2025-07-11 07:36:55.614275,0.013709068298339844,2025-07-11 07:36:55.600566,2025-07-11 07:36:55.614446,-2e-05,2025-07-11 07:35:55.614426,2025-07-11 07:36:55.614426,60.0,True,True
26,1004746,2025-07-11 07:36:55.629034,2025-07-11 07:36:55.642771,0.01373744010925293,2025-07-11 07:36:55.629034,2025-07-11 07:36:55.642975,-4.4e-05,2025-07-11 07:35:55.642931,2025-07-11 07:36:55.642931,60.0,True,True
27,1007439,2025-07-11 07:36:55.582345,2025-07-11 07:36:55.606616,0.02427053451538086,2025-07-11 07:36:55.582345,2025-07-11 07:36:55.606829,-2.5e-05,2025-07-11 07:35:55.606804,2025-07-11 07:36:55.606804,60.0,True,True
28,1007439,2025-07-11 07:36:55.627194,2025-07-11 07:36:55.651578,0.024384021759033203,2025-07-11 07:36:55.627194,2025-07-11 07:36:55.651801,-4.7e-05,2025-07-11 07:35:55.651754,2025-07-11 07:36:55.651754,60.0,True,True
